                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.94882,                0.53901,                0.97213,                0.97055,                0.87415,                0.94977,                0.71484,                0.90948,                 0.5108,                0.98022,              0.0090397,              0.0090397,              0.0090397
                    100,                0.95993,                0.54301,                0.98611,                0.96245,                0.87191,                0.95173,                0.72441,                0.89674,                0.50525,                0.96682,              0.0090298,              0.0090298,              0.0090298
                    101,                0.95214,                0.54109,                0.98642,                0.93923,                0.89376,                0.95959,                0.71957,                0.92014,                0.49516,                0.98855,              0.0090199,              0.0090199,              0.0090199
                    102,                0.96187,                0.55784,                0.98865,                 0.9585,                0.86735,                0.95175,                0.71645,                0.88624,                0.49448,                0.96933,                0.00901,                0.00901,                0.00901
                    103,                0.93634,                0.53283,                0.98302,                0.93599,                0.89456,                0.95638,                0.73371,                0.88984,                0.49117,                0.96873,              0.0090001,              0.0090001,              0.0090001
                    104,                0.94586,                0.53864,                0.97808,                0.95671,                0.89796,                0.95438,                0.72963,                0.88774,                0.47717,                0.96508,              0.0089902,              0.0089902,              0.0089902
                    105,                0.92807,                0.52847,                0.97637,                0.94305,                0.90117,                0.96079,                 0.7248,                0.88733,                0.48845,                0.96744,              0.0089803,              0.0089803,              0.0089803
                    106,                0.94262,                0.53745,                 0.9715,                0.90352,                0.92378,                0.95995,                0.72991,                0.87824,                0.48294,                 0.9596,              0.0089704,              0.0089704,              0.0089704
                    107,                0.93604,                 0.5332,                0.98177,                0.96173,                0.87415,                0.95711,                0.72567,                0.90117,                0.49977,                0.96315,              0.0089605,              0.0089605,              0.0089605
                    108,                0.96022,                0.54583,                0.98564,                0.89187,                0.92579,                0.96144,                0.72461,                0.88367,                0.48757,                0.95824,              0.0089506,              0.0089506,              0.0089506
                    109,                0.95375,                0.54064,                0.96906,                0.91815,                 0.9157,                0.95888,                0.72665,                0.90208,                0.48722,                 0.9753,              0.0089407,              0.0089407,              0.0089407
                    110,                0.93527,                0.53886,                0.98658,                0.94915,                0.88435,                0.96596,                0.72883,                0.90113,                0.48846,                0.96939,              0.0089308,              0.0089308,              0.0089308
                    111,                0.95712,                0.52992,                0.97859,                 0.9276,                0.91517,                0.96218,                0.71742,                 0.9051,                0.49042,                0.98511,              0.0089209,              0.0089209,              0.0089209
                    112,                0.95145,                0.54688,                 0.9831,                0.94566,                0.88788,                0.95604,                0.71995,                0.90242,                0.50014,                0.98231,               0.008911,               0.008911,               0.008911
                    113,                0.94565,                0.54447,                0.99058,                0.92848,                0.90136,                0.94746,                 0.7204,                0.91155,                0.51221,                0.97919,              0.0089011,              0.0089011,              0.0089011
                    114,                  0.941,                0.53145,                0.97152,                0.92843,                0.90476,                0.96017,                0.72994,                0.89078,                0.47709,                0.96602,              0.0088912,              0.0088912,              0.0088912
                    115,                0.96053,                0.54933,                0.97844,                0.93688,                0.90881,                0.96007,                0.72368,                0.90486,                0.49215,                0.97502,              0.0088813,              0.0088813,              0.0088813
                    116,                0.93312,                 0.5368,                0.96889,                0.93894,                0.89116,                0.94974,                0.72555,                0.88266,                0.48805,                0.95873,              0.0088714,              0.0088714,              0.0088714
                    117,                0.93104,                0.52705,                0.97863,                0.94622,                0.89765,                0.96005,                 0.7329,                 0.8979,                0.48894,                0.97866,              0.0088615,              0.0088615,              0.0088615
                    118,                 0.9316,                0.53284,                0.97641,                0.94047,                0.88095,                 0.9562,                0.72373,                 0.8914,                0.48297,                0.97105,              0.0088516,              0.0088516,              0.0088516
                    119,                0.91861,                0.53178,                0.96676,                0.94019,                0.89116,                0.95167,                0.73575,                0.88199,                0.48172,                 0.9685,              0.0088417,              0.0088417,              0.0088417
                    120,                0.91259,                0.52469,                0.97189,                 0.9501,                 0.9066,                0.96091,                0.72111,                0.89863,                0.48282,                0.96597,              0.0088318,              0.0088318,              0.0088318
                    121,                0.93771,                0.54221,                0.97391,                0.93617,                0.89796,                0.96192,                0.72584,                0.88862,                 0.4753,                0.96069,              0.0088219,              0.0088219,              0.0088219
                    122,                0.90356,                0.50724,                0.96704,                 0.9241,                0.91156,                0.95447,                0.71963,                0.90306,                0.48536,                0.97648,               0.008812,               0.008812,               0.008812
                    123,                0.92668,                0.52824,                0.96508,                0.94605,                0.89462,                0.96232,                0.72633,                0.89209,                0.47377,                 0.9731,              0.0088021,              0.0088021,              0.0088021
                    124,                0.92267,                 0.5184,                0.96802,                0.93718,                0.91342,                0.95259,                0.73059,                 0.8964,                0.47555,                0.97339,              0.0087922,              0.0087922,              0.0087922
                    125,                0.92983,                0.52345,                  0.971,                0.92544,                0.92875,                0.96409,                0.73756,                0.88359,                0.46943,                0.96924,              0.0087823,              0.0087823,              0.0087823
                    126,                0.92421,                0.52075,                0.96265,                0.94596,                0.89314,                0.95874,                0.73148,                0.88732,                0.46608,                0.96506,              0.0087724,              0.0087724,              0.0087724
                    127,                0.89058,                0.50305,                0.96626,                0.95364,                0.90956,                0.96631,                0.73243,                0.88925,                0.45493,                0.97904,              0.0087625,              0.0087625,              0.0087625
                    128,                0.92748,                0.52005,                0.97491,                  0.914,                0.92517,                0.96453,                0.73182,                 0.9075,                0.46818,                0.98367,              0.0087526,              0.0087526,              0.0087526
                    129,                0.92577,                0.52294,                0.96972,                0.92069,                0.90812,                0.96019,                0.72399,                0.92544,                0.47985,                0.98512,              0.0087427,              0.0087427,              0.0087427
                    130,                0.91079,                0.50826,                0.96558,                0.95498,                0.91497,                0.96568,                0.72926,                0.90722,                 0.4771,                 0.9761,              0.0087328,              0.0087328,              0.0087328
                    131,                0.89245,                0.50255,                0.96199,                0.96763,                0.90136,                0.96466,                0.73167,                0.90404,                0.47377,                0.97198,              0.0087229,              0.0087229,              0.0087229
                    132,                0.89906,                0.50987,                0.95728,                0.93596,                0.89477,                0.95915,                0.72061,                0.91813,                0.48077,                0.97093,               0.008713,               0.008713,               0.008713
                    133,                0.90563,                0.51644,                0.96415,                0.93957,                0.89456,                0.96182,                0.72441,                0.89284,                0.46108,                0.96139,              0.0087031,              0.0087031,              0.0087031
